                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2852,                 7.1393,                 1.2566,                0.54089,                 0.2574,                0.25758,                0.17939,                 1.0387,                 2.9522,                 1.2802,              0.0033328,              0.0033328,              0.0033328
                      2,                 1.1229,                 4.2857,                 1.2583,                0.86558,                0.82919,                0.92502,                0.67653,                0.91114,                0.94107,                 1.2467,              0.0066001,              0.0066001,              0.0066001
                      3,                 1.0724,                 1.7908,                 1.2295,                0.93882,                0.92443,                0.97395,                0.72813,                0.84882,                0.63635,                   1.22,              0.0098014,              0.0098014,              0.0098014
                      4,                 1.0119,                 1.1841,                 1.2046,                0.96547,                0.95826,                0.98654,                0.75887,                0.78225,                  0.496,                 1.1916,               0.009703,               0.009703,               0.009703
                      5,                 0.9381,                0.93695,                 1.1753,                 0.9741,                 0.9749,                0.98974,                0.77615,                0.73201,                0.41651,                 1.1735,               0.009604,               0.009604,               0.009604
                      6,                0.90372,                0.83759,                 1.1634,                0.98081,                0.97599,                0.99136,                0.78474,                0.70573,                0.37886,                 1.1628,               0.009505,               0.009505,               0.009505
                      7,                0.87002,                0.77143,                 1.1489,                0.98196,                 0.9796,                0.99194,                0.79239,                0.68341,                0.35803,                 1.1523,               0.009406,               0.009406,               0.009406
                      8,                 0.8475,                0.73687,                 1.1384,                0.98547,                0.98079,                0.99223,                0.79888,                  0.664,                0.34156,                  1.142,               0.009307,               0.009307,               0.009307
                      9,                0.83974,                0.72209,                 1.1342,                0.98643,                0.98155,                0.99237,                0.80184,                0.65358,                0.33486,                 1.1369,               0.009208,               0.009208,               0.009208
                     10,                0.82704,                0.70373,                 1.1297,                0.98715,                0.98061,                0.99253,                 0.8048,                0.64522,                0.32886,                 1.1333,               0.009109,               0.009109,               0.009109
                     11,                0.81669,                0.68905,                 1.1239,                 0.9862,                0.98127,                0.99255,                0.80566,                0.64205,                0.32728,                 1.1314,                0.00901,                0.00901,                0.00901
                     12,                0.81725,                0.68927,                 1.1257,                0.98743,                0.98003,                0.99263,                0.80723,                0.63833,                0.32497,                 1.1296,               0.008911,               0.008911,               0.008911
                     13,                0.80619,                0.67252,                 1.1189,                0.98715,                0.98032,                0.99263,                 0.8079,                0.63609,                0.32471,                 1.1282,               0.008812,               0.008812,               0.008812
                     14,                0.80927,                0.67745,                 1.1225,                 0.9869,                0.98091,                0.99264,                0.80915,                 0.6332,                0.32295,                 1.1269,               0.008713,               0.008713,               0.008713
                     15,                0.79946,                0.66558,                 1.1176,                0.98667,                0.98169,                0.99273,                0.80999,                 0.6292,                0.31969,                 1.1252,               0.008614,               0.008614,               0.008614
                     16,                0.78965,                0.64985,                 1.1149,                0.98713,                0.98159,                0.99278,                0.81125,                0.62438,                0.31494,                 1.1233,               0.008515,               0.008515,               0.008515
                     17,                  0.775,                0.63146,                 1.1088,                0.98716,                0.98182,                0.99278,                0.81291,                 0.6193,                0.30982,                 1.1212,               0.008416,               0.008416,               0.008416
                     18,                 0.7738,                0.62873,                 1.1087,                0.98716,                0.98254,                0.99275,                0.81487,                0.61415,                0.30514,                 1.1188,               0.008317,               0.008317,               0.008317
                     19,                0.77469,                0.62852,                 1.1067,                0.98742,                0.98255,                0.99275,                0.81563,                0.61179,                0.30311,                 1.1174,               0.008218,               0.008218,               0.008218
                     20,                0.77974,                0.63614,                 1.1099,                0.98679,                0.98362,                0.99277,                0.81643,                0.60904,                0.30125,                 1.1159,               0.008119,               0.008119,               0.008119
                     21,                0.77295,                0.63101,                 1.1068,                0.98719,                0.98389,                0.99282,                0.81755,                 0.6055,                0.29883,                 1.1141,                0.00802,                0.00802,                0.00802
                     22,                0.76159,                0.61087,                 1.1008,                0.98693,                0.98463,                0.99286,                0.81872,                0.60336,                0.29727,                 1.1129,               0.007921,               0.007921,               0.007921
                     23,                0.77103,                0.62467,                 1.1062,                 0.9865,                0.98538,                0.99291,                0.81976,                0.60095,                0.29564,                 1.1116,               0.007822,               0.007822,               0.007822
                     24,                0.76545,                0.62113,                 1.1034,                0.98708,                0.98598,                0.99293,                0.82072,                0.59754,                0.29354,                 1.1099,               0.007723,               0.007723,               0.007723
                     25,                0.76199,                0.61234,                 1.1025,                0.98837,                0.98541,                0.99297,                0.82215,                0.59395,                0.29087,                 1.1082,               0.007624,               0.007624,               0.007624
                     26,                0.75102,                0.60175,                 1.0981,                0.98848,                0.98583,                  0.993,                0.82338,                0.59016,                0.28804,                 1.1063,               0.007525,               0.007525,               0.007525
                     27,                 0.7516,                0.59896,                  1.099,                0.98878,                  0.986,                0.99302,                0.82517,                0.58609,                0.28518,                 1.1044,               0.007426,               0.007426,               0.007426
                     28,                0.74189,                0.59068,                 1.0945,                0.98905,                0.98591,                0.99304,                0.82667,                0.58152,                0.28228,                 1.1022,               0.007327,               0.007327,               0.007327
                     29,                0.73928,                0.58908,                 1.0935,                0.98908,                0.98621,                0.99308,                0.82814,                0.57711,                0.27925,                 1.1003,               0.007228,               0.007228,               0.007228
                     30,                0.73273,                0.57992,                 1.0895,                0.98934,                0.98625,                0.99315,                0.82992,                0.57268,                0.27641,                 1.0983,               0.007129,               0.007129,               0.007129
                     31,                 0.7289,                0.57054,                 1.0881,                0.98922,                0.98644,                0.99319,                0.83043,                0.57086,                0.27499,                 1.0971,                0.00703,                0.00703,                0.00703
                     32,                0.73559,                0.57979,                 1.0913,                0.98957,                0.98649,                0.99315,                0.83097,                0.56868,                0.27424,                 1.0959,               0.006931,               0.006931,               0.006931
                     33,                0.73261,                0.57879,                 1.0895,                0.98969,                0.98665,                0.99316,                0.83176,                  0.566,                 0.2727,                 1.0942,               0.006832,               0.006832,               0.006832
                     34,                0.73131,                0.57428,                 1.0897,                0.98976,                0.98684,                0.99315,                0.83252,                0.56319,                0.27133,                 1.0926,               0.006733,               0.006733,               0.006733
                     35,                0.72281,                0.56639,                 1.0862,                0.98988,                0.98685,                0.99315,                0.83408,                0.56042,                0.26964,                  1.091,               0.006634,               0.006634,               0.006634
                     36,                0.71065,                0.54856,                 1.0802,                0.98977,                0.98709,                0.99316,                0.83476,                0.55896,                0.26894,                 1.0901,               0.006535,               0.006535,               0.006535
                     37,                0.72026,                0.56066,                 1.0848,                0.99012,                0.98715,                0.99319,                0.83523,                 0.5571,                0.26791,                 1.0892,               0.006436,               0.006436,               0.006436
                     38,                0.71836,                0.56254,                 1.0832,                0.99035,                0.98704,                0.99318,                0.83655,                0.55516,                0.26629,                 1.0879,               0.006337,               0.006337,               0.006337
                     39,                0.71964,                0.56078,                 1.0843,                0.99041,                0.98724,                 0.9932,                0.83726,                0.55306,                0.26496,                 1.0866,               0.006238,               0.006238,               0.006238
                     40,                0.69759,                0.53439,                 1.0743,                 0.9905,                0.98723,                0.99324,                0.83775,                0.55186,                 0.2643,                 1.0858,               0.006139,               0.006139,               0.006139
                     41,                0.70877,                0.54812,                 1.0799,                0.99044,                0.98767,                0.99327,                0.83835,                0.55029,                0.26326,                 1.0849,                0.00604,                0.00604,                0.00604
